date,equity
2011-07-27,103118.75407
2011-07-28,103562.36407000001
2011-07-29,103562.36407000001
2011-08-01,104064.56407
2011-08-02,102867.65407
2011-08-03,102750.47407
2011-08-04,100699.82407
2011-08-05,100272.95407
2011-08-08,99770.75407
2011-08-09,100959.29407
2011-08-10,99921.41407
2011-08-11,101160.17407000001
2011-08-12,102005.54407
2011-08-15,101938.58407000001
2011-08-16,101829.77407
2011-08-17,101603.78407
2011-08-18,100289.69407
2011-08-19,98649.17407000001
2011-08-22,98356.22407
2011-08-23,99201.59407
2011-08-24,99963.26407
2011-08-25,99327.14407000001
2011-08-26,99846.08407000001
2011-08-29,100666.34407
2011-08-30,100599.38407
2011-08-31,100691.45407
2011-09-01,100072.07407
2011-09-02,99293.66407
2011-09-06,99184.85407
2011-09-07,99938.15407
2011-09-08,99745.64407000001
2011-09-09,99209.96407
2011-09-12,99134.63407
2011-09-13,100139.03407
2011-09-14,100356.65407
2011-09-15,100758.41407
2011-09-16,101578.67407000001
2011-09-19,101553.56407
2011-09-20,101754.44407
2011-09-21,101620.52407
2011-09-22,101436.38407
2011-09-23,102064.13407
2011-09-26,101344.31407
2011-09-27,101905.10407
2011-09-28,100565.90407
2011-09-29,100172.51407
2011-09-30,100398.50407
2011-10-03,99846.08407000001
2011-10-04,99787.49407
2011-10-05,101218.76407
2011-10-06,102549.59407
2011-10-07,102574.70407
2011-10-10,103319.63407
2011-10-11,103093.64407000001
2011-10-12,103252.67407000001
2011-10-13,103369.85407
2011-10-14,103461.92407000001
2011-10-17,102934.61407000001
2011-10-18,103704.65407
2011-10-19,103060.16407
2011-10-20,102867.65407
2011-10-21,103445.18407
2011-10-24,103880.42407000001
2011-10-25,103629.32407
2011-10-26,103403.33407000001
2011-10-27,104056.19407
2011-10-28,104985.26407
2011-10-31,104566.76407
2011-11-01,104156.63407
2011-11-02,104014.34407
2011-11-03,107153.09407
2011-11-04,107027.54407
2011-11-07,106157.06407
2011-11-08,106634.15407
2011-11-09,105830.63407
2011-11-10,106207.28407
2011-11-11,108140.75407
2011-11-14,107789.21407
2011-11-15,108383.48407
2011-11-16,109228.85407
2011-11-17,108174.23407
2011-11-18,107270.27407
2011-11-21,106567.19407
2011-11-22,106826.66407
2011-11-23,106307.72407
2011-11-25,106483.49407
2011-11-28,107236.79407
2011-11-29,106558.82407
2011-11-30,107387.45407
2011-12-01,107270.27407
2011-12-02,107856.17407000001
2011-12-05,108793.61407000001
2011-12-06,109170.26407
2011-12-07,108601.10407
2011-12-08,105839.00407
2011-12-09,105964.55407
2011-12-12,105437.24407
2011-12-13,104633.72407
2011-12-14,103863.68407
2011-12-15,103939.01407
2011-12-16,103420.07407
2011-12-19,103210.82407
2011-12-20,103336.37407
2011-12-21,103060.16407
2011-12-22,103227.56407
2011-12-23,103336.37407
2011-12-27,103897.16407
2011-12-28,103846.94407
2011-12-29,104031.08407000001
2011-12-30,103888.79407
2012-01-03,103487.03407
2012-01-04,103177.34407
2012-01-05,102683.51407
2012-01-06,102507.74407
2012-01-09,102792.32407
2012-01-10,103102.01407
2012-01-11,103612.58407000001
2012-01-12,103629.32407
2012-01-13,99059.30407
2012-01-17,102248.27407
2012-01-18,102424.04407
2012-01-19,102382.19407
2012-01-20,102248.27407
2012-01-23,102390.56407
2012-01-24,102934.61407000001
2012-01-25,103394.96407
2012-01-26,104206.85407
2012-01-27,104533.28407
2012-01-30,104734.16407
2012-01-31,104315.66407
2012-02-01,104742.53407
2012-02-02,105303.32407
2012-02-03,106056.62407
2012-02-06,106600.67407000001
2012-02-07,106433.27407
2012-02-08,106709.48407
2012-02-09,107253.53407
2012-02-10,106014.77407
2012-02-13,106341.20407
2012-02-14,107747.36407000001
2012-02-15,108107.27407
2012-02-16,108592.73407
2012-02-17,109253.96407
2012-02-21,108860.57407
2012-02-22,108626.21407
2012-02-23,108885.68407
2012-02-24,108232.82407
2012-02-27,108124.01407
2012-02-28,108283.04407
2012-02-29,107948.24407
2012-03-01,108785.24407
2012-03-02,108475.55407
2012-03-05,108249.56407000001
2012-03-06,107697.14407000001
2012-03-07,107705.51407
2012-03-08,107663.66407
2012-03-09,109061.45407
2012-03-12,110124.44407
2012-03-13,110191.40407
2012-03-14,109521.80407
2012-03-15,109279.07407
2012-03-16,109546.91407
2012-03-19,109262.33407
2012-03-20,109245.59407
2012-03-21,109404.62407
2012-03-22,108776.87407
2012-03-23,108509.03407
2012-03-26,111287.87407
2012-03-27,111739.85407
2012-03-28,111664.52407
2012-03-29,111229.28407
2012-03-30,111153.95407
2012-04-02,110601.53407
2012-04-03,111798.44407
2012-04-04,109279.07407
2012-04-05,108843.83407
2012-04-09,107730.62407
2012-04-10,107153.09407
2012-04-11,107680.40407
2012-04-12,107973.35407
2012-04-13,108098.90407
2012-04-16,106977.32407
2012-04-17,106968.95407
2012-04-18,107320.49407
2012-04-19,107738.99407
2012-04-20,107738.99407
2012-04-23,106717.85407
2012-04-24,106617.41407
2012-04-25,107529.74407
2012-04-26,108015.20407
2012-04-27,107889.65407
2012-04-30,107713.88407
2012-05-01,108257.93407
2012-05-02,108391.85407
2012-05-03,107153.09407
2012-05-04,106625.78407
2012-05-07,107161.46407
2012-05-08,105253.10407
2012-05-09,105144.29407
2012-05-10,107571.59407
2012-05-11,106977.32407
2012-05-14,105144.29407
2012-05-15,104616.98407
2012-05-16,104407.73407
2012-05-17,103897.16407
2012-05-18,103051.79407
2012-05-21,104064.56407
2012-05-22,105755.30407
2012-05-23,105947.81407
2012-05-24,105361.91407
2012-05-25,104935.04407
2012-05-29,106508.60407
2012-05-30,105437.24407
2012-05-31,104675.57407
2012-06-01,103545.62407
2012-06-04,103319.63407
2012-06-05,103344.74407
2012-06-06,104441.21407
2012-06-07,104198.48407
2012-06-08,105161.03407
2012-06-11,104357.51407
2012-06-12,104809.49407
2012-06-13,104901.56407
2012-06-14,104583.50407
2012-06-15,105018.74407
2012-06-18,106634.15407
2012-06-19,106843.40407
2012-06-20,108257.93407
2012-06-21,106927.10407
2012-06-22,108262.11907
2012-06-25,107697.14407000001
2012-06-26,106441.64407000001
2012-06-27,106734.59407
2012-06-28,106274.24407
2012-06-29,106173.80407
2012-07-02,105428.87407
2012-07-03,105646.49407
2012-07-05,106123.58407000001
2012-07-06,105922.70407
2012-07-09,106341.20407
2012-07-10,106157.06407
2012-07-11,106357.94407
2012-07-12,107353.97407
2012-07-13,108651.32407
2012-07-16,110082.59407
2012-07-17,107898.02407
2012-07-18,106893.62407
2012-07-19,106994.06407000001
2012-07-20,106592.30407
2012-07-23,105646.49407
2012-07-24,104960.15407
2012-07-25,104215.22407
2012-07-26,103528.88407
2012-07-27,104683.94407
2012-07-30,102876.02407
2012-07-31,102934.61407000001
2012-08-01,101955.32407
2012-08-02,101829.77407
2012-08-03,102809.06407
2012-08-06,103646.06407
2012-08-07,105303.32407
2012-08-08,104332.40407
2012-08-09,104600.24407
2012-08-10,105043.85407
2012-08-13,106073.36407000001
2012-08-14,104608.61407000001
2012-08-15,104591.87407
2012-08-16,105345.17407000001
2012-08-17,105102.44407
2012-08-20,104683.94407
2012-08-21,104349.14407000001
2012-08-22,105052.22407
2012-08-23,105705.08407000001
2012-08-24,104675.57407
2012-08-27,103687.91407
2012-08-28,103997.60407
2012-08-29,103763.24407
2012-08-30,103763.24407
2012-08-31,103855.31407
2012-09-04,103537.25407
2012-09-05,103369.85407
2012-09-06,103880.42407000001
2012-09-07,104550.02407
2012-09-10,102892.76407
2012-09-11,103252.67407000001
2012-09-12,103654.43407
2012-09-13,104658.83407000001
2012-09-14,105420.50407
2012-09-17,107220.05407
2012-09-18,106215.65407
2012-09-19,105972.92407000001
2012-09-20,105847.37407
2012-09-21,105110.81407
2012-09-24,105646.49407
2012-09-25,103135.49407
2012-09-26,103035.05407
2012-09-27,103830.20407
2012-09-28,104491.43407
2012-10-01,104390.99407
2012-10-02,104926.67407000001
2012-10-03,104508.17407000001
2012-10-04,104591.87407
2012-10-05,104165.00407
2012-10-08,104466.32407
2012-10-09,103729.76407
2012-10-10,103754.87407
2012-10-11,103687.91407
2012-10-12,103118.75407
2012-10-15,102859.28407
2012-10-16,103470.29407
2012-10-17,104105.66077
2012-10-18,103453.55407
2012-10-19,103202.45407
2012-10-22,103294.52407
2012-10-23,103746.50407
2012-10-24,102934.61407000001
2012-10-25,103018.31407
2012-10-26,102901.13407
2012-10-31,103530.05587
2012-11-01,104462.47387
2012-11-02,104188.60747
2012-11-05,106349.57407
2012-11-06,106056.62407
2012-11-07,106383.05407
2012-11-08,106190.54407
2012-11-09,105361.91407
2012-11-12,105989.66407
2012-11-13,106445.24317
2012-11-14,106249.13407
2012-11-15,105780.41407
2012-11-16,106634.07037
2012-11-19,107538.11407000001
2012-11-20,107605.07407
2012-11-21,107161.46407
2012-11-23,106876.88407
2012-11-26,106994.06407000001
2012-11-27,106893.62407
2012-11-28,107797.58407
2012-11-29,108182.60407
2012-11-30,108291.41407
2012-12-03,108961.01407
2012-12-04,108358.37407
2012-12-05,108199.34407
2012-12-06,108358.37407
2012-12-07,108584.36407000001
2012-12-10,108919.16407
2012-12-11,109513.43407
2012-12-12,109496.69407
2012-12-13,108115.64407000001
2012-12-14,108283.04407
2012-12-17,108776.87407
2012-12-18,108935.90407
2012-12-19,108952.64407000001
2012-12-20,108801.98407
2012-12-21,108442.07407
2012-12-24,108676.43407
2012-12-26,108098.90407
2012-12-27,108182.60407
2012-12-28,107789.21407
2012-12-31,108333.26407
2013-01-02,109580.39407000001
2013-01-03,109086.56407000001
2013-01-04,108776.87407
2013-01-07,108726.65407
2013-01-08,108174.23407
2013-01-09,108140.75407
2013-01-10,108048.68407
2013-01-11,107529.74407
2013-01-14,107822.69407
2013-01-15,108358.37407
2013-01-16,108525.77407
2013-01-17,108760.13407
2013-01-18,108877.31407000001
2013-01-22,109438.10407
2013-01-23,110116.07407
2013-01-24,110944.70407
2013-01-25,110936.33407
2013-01-28,111815.18407
2013-01-29,111748.22407
2013-01-30,111388.31407000001
2013-01-31,111379.94407
2013-02-01,112041.17407000001
2013-02-04,111572.45407
2013-02-05,111898.88407
2013-02-06,112769.36407000001
2013-02-07,113028.83407
2013-02-08,112827.95407
2013-02-11,112141.61407000001
2013-02-12,111698.00407
2013-02-13,112166.72407
2013-02-14,112041.17407000001
2013-02-15,110986.55407
2013-02-19,112861.43407
2013-02-20,112242.05407
2013-02-21,109412.99407
2013-02-22,110208.14407000001
2013-02-25,108760.13407
2013-02-26,108801.98407
2013-02-27,109362.77407
2013-02-28,109136.78407
2013-03-01,108986.12407
2013-03-04,109764.53407
2013-03-05,110660.12407
2013-03-06,111530.60407
2013-03-07,111982.58407
2013-03-08,112183.46407
2013-03-11,112710.77407
2013-03-12,112727.51407
2013-03-13,112610.33407
2013-03-14,110827.52407
2013-03-15,109521.80407
2013-03-18,109404.62407
2013-03-19,109346.03407
2013-03-20,110074.22407
2013-03-21,110124.44407
2013-03-22,110635.01407
2013-03-25,111396.68407
2013-03-26,111672.89407000001
2013-03-27,111923.99407
2013-03-28,111698.00407
2013-04-01,116753.48407
2013-04-02,117096.65407
2013-04-03,114384.77407000001
2013-04-04,115146.44407
2013-04-05,114610.76407
2013-04-08,114995.78407
2013-04-09,113882.57407
2013-04-10,115020.89407000001
2013-04-11,116468.90407
2013-04-12,116602.82407
2013-04-15,116226.17407000001
2013-04-16,118142.90407
2013-04-17,118025.72407
2013-04-18,119297.96407
2013-04-19,120017.78407
2013-04-22,121993.10407
2013-04-23,122679.44407
2013-04-24,122193.98407
2013-04-25,123508.07407
2013-04-26,122838.47407
2013-04-29,125968.85407
2013-04-30,125173.70407
2013-05-01,124579.43407
2013-05-02,125274.14407000001
2013-05-03,125642.42407000001
2013-05-06,129785.57407
2013-05-07,126445.94407
2013-05-08,126677.37457
2013-05-09,138071.87407000002
2013-05-10,144235.54207
2013-05-13,153472.67407
2013-05-14,149655.95406999998
2013-05-15,150996.82807
2013-05-16,157195.65007
2013-05-17,156569.57407
2013-05-20,155263.85407
2013-05-21,153296.90407
2013-05-22,153003.95406999998
2013-05-23,157599.08407
2013-05-24,161240.03407
2013-05-28,172333.63207
2013-05-29,167558.54707
2013-05-30,167827.22407
2013-05-31,161809.19407000003
2013-06-03,157481.90407
2013-06-04,159365.15407
2013-06-05,159808.76407
2013-06-06,161466.02406999998
2013-06-07,165391.55407
2013-06-10,163725.92407
2013-06-11,159055.46407
2013-06-12,161784.08407
2013-06-13,162160.73407
2013-06-14,163935.17407
2013-06-17,165525.47407
2013-06-18,166521.50407000002
2013-06-19,167601.23407
2013-06-20,164228.12407000002
2013-06-21,163307.42407
2013-06-24,164931.20406999998
2013-06-25,165692.87407000002
2013-06-26,168471.71407
2013-06-27,171426.32407
2013-06-28,169844.39406999998
2013-07-01,178062.89707
2013-07-02,178599.41407
2013-07-03,176439.95406999998
2013-07-05,180499.40407
2013-07-08,181771.64406999998
2013-07-09,183311.72407
2013-07-10,182324.06407
2013-07-11,185119.64406999998
2013-07-12,188710.37407000002
2013-07-15,186500.69407000003
2013-07-16,171258.92407
2013-07-17,180633.32407
2013-07-18,179612.18407000002
2013-07-19,180156.23407
2013-07-22,182457.98407
2013-07-23,182717.45406999998
2013-07-24,181846.97407
2013-07-25,183830.66407
2013-07-26,188283.50407
2013-07-29,192661.01407
2013-07-30,190250.45407
2013-07-31,192376.43407000002
2013-08-01,193439.42407
2013-08-02,195490.07407
2013-08-05,201081.23407
2013-08-06,198963.62407000002
2013-08-07,192334.58406999998
2013-08-08,208446.83406999998
2013-08-09,208045.07407
2013-08-12,203341.13407
2013-08-13,201708.98407
2013-08-14,196628.39407
2013-08-15,196887.86407
2013-08-16,198838.07407
2013-08-19,201265.37407000002
2013-08-20,205182.53407
2013-08-21,203742.89407
2013-08-22,211476.77406999998
2013-08-23,215443.31707
2013-08-26,217436.21407
2013-08-27,219771.44407
2013-08-28,219302.72407
2013-08-29,218976.29407
2013-08-30,221437.07407
2013-09-03,221386.85407
2013-09-04,222794.68807
2013-09-05,222215.48407
2013-09-06,219737.96407
2013-09-09,214489.97407
2013-09-10,219235.76407
2013-09-11,216850.31407000002
2013-09-12,218030.48407
2013-09-13,218541.05406999998
2013-09-16,219411.53407000002
2013-09-17,219118.58406999998
2013-09-18,219108.54007
2013-09-19,228903.11406999998
2013-09-20,233481.50407
2013-09-23,231573.14407
2013-09-24,232594.28407000002
2013-09-25,235028.28007
2013-09-26,237875.75407
2013-09-27,239767.37407000002
2013-09-30,241834.76407
2013-10-01,241525.07407
2013-10-02,231439.22407
2013-10-03,225044.54407
2013-10-04,231464.33406999998
2013-10-07,233213.66407
2013-10-08,226233.08406999998
2013-10-09,221252.93407000002
2013-10-10,224726.48407
2013-10-11,229555.97407
2013-10-14,230409.71407
2013-10-15,233941.85407
2013-10-16,233623.79407
2013-10-17,232989.34807
2013-10-18,233489.87407000002
2013-10-21,224450.27406999998
2013-10-22,223563.05406999998
2013-10-23,217670.57407
2013-10-24,224910.62407000002
2013-10-25,221989.49407
2013-10-28,216297.89407
2013-10-29,217645.46407
2013-10-30,213251.21407
2013-10-31,213853.85407
2013-11-01,215720.36406999998
2013-11-04,226626.47407
2013-11-05,227974.04407
2013-11-06,206504.99407000002
2013-11-07,196973.23807
2013-11-08,195448.22407
