short_window,long_window,threshold,max_trades_per_week,stop_loss_pct,trailing_stop_pct,max_position_pct,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades
3,5,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.15,2,0.15,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,6,0.15,2,0.15,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,6,0.15,2,0.15,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,6,0.15,2,0.2,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,6,0.15,2,0.2,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,6,0.15,2,0.2,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,6,0.15,2,0.25,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,6,0.15,2,0.25,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,6,0.15,2,0.25,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,6,0.2,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.2,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,6,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.15,2,0.15,0.15,0.5,0.09879528529999997,0.006152862967964801,-0.7267059542945568,0.044602536017944665,0.75,4
3,8,0.15,2,0.15,0.2,0.5,-0.01806094150000019,-0.0011859375497005331,-0.26719556816408147,0.25197873880144595,0.25,4
3,8,0.15,2,0.15,0.25,0.5,-0.02864119066000014,-0.0018901772817367934,-0.2743411938700486,0.25402614360221415,0.25,4
3,8,0.15,2,0.2,0.15,0.5,0.09879528529999997,0.006152862967964801,-0.7267059542945568,0.044602536017944665,0.75,4
3,8,0.15,2,0.2,0.2,0.5,-0.02028671350000019,-0.0013334975829084605,-0.2684597853173832,0.25240670648056174,0.3333333333333333,3
3,8,0.15,2,0.2,0.25,0.5,-0.030866962660000136,-0.0020392411198859595,-0.27558475636611834,0.25446110027673907,0.3333333333333333,3
3,8,0.15,2,0.25,0.15,0.5,0.09879528529999997,0.006152862967964801,-0.7267059542945568,0.044602536017944665,0.75,4
3,8,0.15,2,0.25,0.2,0.5,-0.02028671350000019,-0.0013334975829084605,-0.2684597853173832,0.25240670648056174,0.3333333333333333,3
3,8,0.15,2,0.25,0.25,0.5,-0.030866962660000136,-0.0020392411198859595,-0.27558475636611834,0.25446110027673907,0.3333333333333333,3
3,8,0.2,2,0.15,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,8,0.2,2,0.15,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,8,0.2,2,0.15,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,8,0.2,2,0.2,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,8,0.2,2,0.2,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,8,0.2,2,0.2,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,8,0.2,2,0.25,0.15,0.5,0.0064779261000000405,0.00042048621469326086,-4.119903373408869,0.01621403646771024,1.0,1
3,8,0.2,2,0.25,0.2,0.5,0.06089355599999995,0.003855986824497837,-1.1421770409687644,0.03580501416625987,1.0,1
3,8,0.2,2,0.25,0.25,0.5,0.05031330684,0.0032011157340554597,-1.1699306075442457,0.04542089233919091,1.0,1
3,8,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,8,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.15,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.2,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,5,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.15,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.2,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,6,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.15,2,0.15,0.15,0.5,0.00796176855999991,0.00051644712643939,-4.055436735289296,0.016532981320297548,1.0,1
4,8,0.15,2,0.15,0.2,0.5,0.06354762705999994,0.004019304112036881,-1.1103195294988575,0.03645899620326707,1.0,1
4,8,0.15,2,0.15,0.25,0.5,0.05273984565999985,0.0033518511063552747,-1.1385775152372635,0.04625050931844255,1.0,1
4,8,0.15,2,0.2,0.15,0.5,0.00796176855999991,0.00051644712643939,-4.055436735289296,0.016532981320297548,1.0,1
4,8,0.15,2,0.2,0.2,0.5,0.06354762705999994,0.004019304112036881,-1.1103195294988575,0.03645899620326707,1.0,1
4,8,0.15,2,0.2,0.25,0.5,0.05273984565999985,0.0033518511063552747,-1.1385775152372635,0.04625050931844255,1.0,1
4,8,0.15,2,0.25,0.15,0.5,0.00796176855999991,0.00051644712643939,-4.055436735289296,0.016532981320297548,1.0,1
4,8,0.15,2,0.25,0.2,0.5,0.06354762705999994,0.004019304112036881,-1.1103195294988575,0.03645899620326707,1.0,1
4,8,0.15,2,0.25,0.25,0.5,0.05273984565999985,0.0033518511063552747,-1.1385775152372635,0.04625050931844255,1.0,1
4,8,0.2,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.2,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
4,8,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
